,Actual,Sim Avg (0.00),%<Act (0.00),Sim Avg (0.05),%<Act (0.05),Sim Avg (0.10),%<Act (0.10),Sim Avg (0.15),%<Act (0.15),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.25),%<Act (0.25),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.35),%<Act (0.35),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.45),%<Act (0.45),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.55),%<Act (0.55),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.65),%<Act (0.65),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.75),%<Act (0.75),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.85),%<Act (0.85),Sim Avg (0.90),%<Act (0.90),Sim Avg (0.95),%<Act (0.95),Sim Avg (1.00),%<Act (1.00)
Worst,-0.30530479286160517,-0.3901640881029519,67.9,-0.39616376670975256,69.19999999999999,-0.4104212165865121,73.5,-0.43141229126072855,78.60000000000001,-0.458499803418845,83.8,-0.4907031538662826,89.4,-0.5270644638794761,93.2,-0.5665784265525091,96.6,-0.608957419712885,98.2,-0.6536492123280309,99.0,-0.7000935907734306,99.4,-0.7480867999402453,99.6,-0.7973473599992508,99.8,-0.8475646594332558,99.9,-0.8986187615014187,99.9,-0.9503161725812933,100.0,-1.0028469329847087,100.0,-1.0558680901581312,100.0,-1.1093110875607104,100.0,-1.163177873116017,100.0,-1.2175637375887298,100.0
2nd Worst,-0.3041755101718493,-0.299709895107587,43.3,-0.30641722721688436,46.400000000000006,-0.3182412416495077,50.1,-0.335819217814669,56.89999999999999,-0.3576529189817802,65.10000000000001,-0.3823381736323425,74.9,-0.40993102501439205,82.8,-0.4409205882287548,88.3,-0.47369159457164356,93.0,-0.5080929404106796,95.89999999999999,-0.5441594592199357,97.89999999999999,-0.5812815894834565,98.9,-0.6194429725961236,99.3,-0.6585034589026456,99.8,-0.6982235722531657,99.9,-0.7385984871583023,100.0,-0.7792177145241735,100.0,-0.8203288818207622,100.0,-0.8620766677346781,100.0,-0.9040752346769898,100.0,-0.9460953112466705,100.0
3rd Worst,-0.2866048931040155,-0.26206252761206633,35.3,-0.26777744575762313,36.9,-0.2781791946335725,41.199999999999996,-0.2920996812125757,46.9,-0.3107151935496087,55.1,-0.33351353716276627,65.4,-0.35891365915284273,75.2,-0.38543846988500363,83.5,-0.41408112609895775,90.3,-0.44389385497977485,95.0,-0.4750894750240393,97.6,-0.5069384760833183,98.8,-0.5393065969651196,99.2,-0.5725832359820519,99.8,-0.6064788155369107,99.9,-0.6411528643942271,100.0,-0.6764176403469451,100.0,-0.7120169904126588,100.0,-0.7477910259140892,100.0,-0.7840181773104895,100.0,-0.8203645815142943,100.0
4th Worst,-0.27341793697538735,-0.2404744230606185,30.7,-0.24324888997107583,31.6,-0.2521791868348199,35.099999999999994,-0.2655380563507192,40.8,-0.2821580399486768,48.0,-0.30109217967829255,56.3,-0.3234813953115254,67.7,-0.34757439308616955,77.60000000000001,-0.37301213645806525,85.6,-0.4002507991076214,92.80000000000001,-0.4283952440212556,96.1,-0.4578601147651992,98.2,-0.4883999342204114,99.0,-0.519017785881858,99.4,-0.5503682034029096,99.9,-0.5822553367457951,99.9,-0.6142076130435649,100.0,-0.6463323618671437,100.0,-0.6789408779905532,100.0,-0.7116739744516409,100.0,-0.7448312312254896,100.0
5th Worst,-0.2603190483722785,-0.22643382081274513,30.0,-0.2279322314531487,30.3,-0.23428759986564274,33.1,-0.24514480211728887,37.1,-0.2589608247270139,43.2,-0.2775941936130098,53.300000000000004,-0.2980606695533913,65.3,-0.3201352258814495,74.7,-0.3440035406611889,83.3,-0.36922852785429217,90.10000000000001,-0.39529718660725005,95.0,-0.42254546894944633,97.6,-0.4502509485983572,98.9,-0.4786389723054248,99.5,-0.5073270990270824,99.9,-0.5362825557465346,99.9,-0.5659716724887202,100.0,-0.5960052790084048,100.0,-0.6259513833785688,100.0,-0.6562487684482453,100.0,-0.6866951907895736,100.0
6th Worst,-0.2431416439346914,-0.2089976029370646,30.7,-0.21136797165509028,31.3,-0.21777212697252946,33.6,-0.22801584266573088,37.0,-0.24189080573798288,43.2,-0.25856343923679515,53.1,-0.27787517372006276,64.8,-0.2990380316623773,74.8,-0.321611251941917,84.1,-0.34492916945011887,89.7,-0.36974922639282604,94.1,-0.3951496674172363,97.0,-0.42142049314474084,98.7,-0.44822117790748617,99.4,-0.4752696024724135,99.8,-0.5022426170348676,99.8,-0.529459432013947,100.0,-0.5573107818941143,100.0,-0.5855393970409967,100.0,-0.6138962278937715,100.0,-0.6425880097171159,100.0
7th Worst,-0.2315213317599298,-0.19545580912959087,28.999999999999996,-0.1978601933664317,29.2,-0.2042880308091573,31.8,-0.21400131910102418,35.5,-0.22759285392704198,43.5,-0.24341297417921706,52.0,-0.26134461265332276,62.1,-0.28163078811024034,74.2,-0.3032546593930259,82.1,-0.32594138472262235,89.4,-0.34888692305736585,94.3,-0.37278652247307514,96.89999999999999,-0.3969684470042415,98.3,-0.42179933770117917,99.1,-0.44724528611872383,99.5,-0.4730932970488486,99.8,-0.49922952560540484,100.0,-0.5254887573407352,100.0,-0.5519322685737111,100.0,-0.5785567661514424,100.0,-0.6051901078710845,100.0
8th Worst,-0.2254278739458438,-0.1849529261344568,26.900000000000002,-0.1873248419928303,27.500000000000004,-0.19308737688235905,30.5,-0.20254114765256873,33.4,-0.2152970235786196,40.300000000000004,-0.2306439517168886,48.9,-0.24836385896834548,59.699999999999996,-0.26747120769003047,71.2,-0.2878564851145808,79.80000000000001,-0.3084550373148377,86.5,-0.33051752905602616,92.30000000000001,-0.35346326008285084,95.7,-0.37705631156574715,97.8,-0.40093315491548354,98.8,-0.4253876329976897,99.4,-0.45019102612910966,99.7,-0.47544081805263644,99.8,-0.5005681661738672,100.0,-0.5259029997500169,100.0,-0.5512199060729478,100.0,-0.5767566535626207,100.0
9th Worst,-0.22300350127897337,-0.17628508748062646,23.9,-0.17801318346236508,24.7,-0.18373741701323112,26.900000000000002,-0.19322925257657153,31.1,-0.20569691792756048,36.7,-0.22002776882059435,45.0,-0.23656747537935705,54.800000000000004,-0.2548317419119311,66.3,-0.2740854817030195,75.7,-0.2944971176775768,83.3,-0.31547852272237803,89.8,-0.33680252899346813,94.39999999999999,-0.35867775030917753,96.89999999999999,-0.38158551932259127,98.2,-0.4050652507032691,99.2,-0.4286610426685089,99.6,-0.45222962687315466,99.8,-0.4763199884611648,99.9,-0.5004251120575005,99.9,-0.5247247171336583,100.0,-0.5492280364797946,100.0
10th Worst,-0.22295695311131847,-0.16839140492115717,21.4,-0.17003020154552345,21.9,-0.17571326609614232,23.1,-0.18514662683564825,27.1,-0.19676537168758534,33.4,-0.2106143913897329,39.800000000000004,-0.22648727410636338,48.4,-0.2439026778870565,59.5,-0.26192420454064425,71.0,-0.2815204555496578,78.8,-0.3018317126612744,86.8,-0.32283369499819614,91.8,-0.34436316044458937,95.5,-0.3662993771437041,97.6,-0.38861671820024607,98.7,-0.41137623317063765,99.4,-0.4342657371028763,99.8,-0.4573023862133411,99.9,-0.4806271005844835,99.9,-0.504220986625046,100.0,-0.5279188834815249,100.0
10%,-0.18244691980592082,-0.11584571551523021,14.399999999999999,-0.11740351168107628,14.799999999999999,-0.12126988670571434,15.8,-0.12750283791474615,18.5,-0.13563146140623522,21.4,-0.1453723553015011,26.8,-0.1568662045881947,32.9,-0.16921788092460954,38.6,-0.18263178143665676,46.7,-0.19673568903689165,56.699999999999996,-0.21111354411188965,66.9,-0.2261877125026779,74.9,-0.2417128408416192,83.0,-0.2578254702431228,88.9,-0.27396281824018354,92.80000000000001,-0.2900474242504931,96.0,-0.3063293832378797,97.2,-0.3226611864469922,98.3,-0.33917594041641924,99.2,-0.3559719935853068,99.4,-0.37290521201338994,99.5
20%,-0.11689696223379871,-0.07148310830882094,20.599999999999998,-0.07221978716194101,21.5,-0.07480474903365965,23.200000000000003,-0.0789600007276653,25.4,-0.08405377006750095,27.200000000000003,-0.09034159511202895,30.2,-0.09750239687615717,34.599999999999994,-0.10550596069854266,39.6,-0.11385844845014026,45.1,-0.12293612753163286,53.1,-0.1321804856865727,60.5,-0.14175978409080056,66.10000000000001,-0.1514800375939936,71.39999999999999,-0.1613467624071519,77.60000000000001,-0.1714833466585771,83.2,-0.18164070469756602,86.7,-0.1921896611064102,89.4,-0.20254147100270917,93.10000000000001,-0.21300447350950527,94.69999999999999,-0.22356911526230502,95.7,-0.2341317089012162,97.1
30%,-0.07501735379403804,-0.04348034848359795,27.1,-0.04399349442882756,27.800000000000004,-0.04562054061484635,27.6,-0.04799764853733018,28.9,-0.0512255232408559,31.5,-0.055113910320919605,34.0,-0.059578158326950244,37.0,-0.06448745192412755,40.6,-0.06977002810872082,44.7,-0.07518918124286043,49.8,-0.08069030590863925,53.6,-0.0863868929008511,57.199999999999996,-0.09236313596240682,61.4,-0.09839440920692345,66.10000000000001,-0.10462556441184145,69.1,-0.11084966058377907,73.6,-0.1173273657237568,76.7,-0.1237632385021017,79.9,-0.13007995882909834,83.2,-0.1365242375430701,85.1,-0.142883399617943,87.4
40%,-0.0455513456913116,-0.020608841678923306,31.2,-0.020928936635127463,31.3,-0.021749162562441936,31.7,-0.02297825782814919,33.6,-0.024589777344433038,33.800000000000004,-0.02661529400309583,35.4,-0.028673729903103806,36.3,-0.031065961480202547,38.1,-0.033753869365027694,41.099999999999994,-0.036262346518500424,42.0,-0.039002701805914065,45.0,-0.04169102511991562,46.300000000000004,-0.044675484294187,48.4,-0.0477600208296636,50.8,-0.05074568059314156,54.1,-0.05375399087881567,56.10000000000001,-0.05662016456085131,58.099999999999994,-0.05964816343618957,59.9,-0.06258552391554735,63.0,-0.06563441224042352,64.5,-0.06880394835291458,66.2
50%,-0.02116840850632039,1.0886615683190715e-05,34.1,3.781064632171593e-05,34.1,-4.0832955474978784e-05,33.900000000000006,-3.4666731541213744e-05,33.800000000000004,-0.0001280824557608783,34.1,-0.00021232240933425972,34.1,-0.00026451025189597963,34.2,-0.0004075460862291719,33.900000000000006,-0.0005298902523996048,34.4,-0.0006367723664903307,34.5,-0.0006116037009710751,34.9,-0.0008510039152604163,35.199999999999996,-0.0007519086951090012,34.9,-0.0007440227157030717,34.9,-0.0007601268947658115,34.8,-0.0008121874023029163,35.4,-0.0008932281920491134,35.0,-0.0008884976792611799,35.0,-0.0007440236988416598,35.0,-0.000784748642526323,34.5,-0.000825437047943903,34.9
60%,0.007437623667903501,0.02073951376476107,40.699999999999996,0.02095264842060573,40.400000000000006,0.021784743539624476,39.800000000000004,0.023030419061435922,38.3,0.024544468652599995,37.0,0.026137760514271996,36.0,0.028208755960086797,34.5,0.030352464861717762,33.1,0.032721486773219906,31.1,0.035397687155703496,29.299999999999997,0.038125258941650836,27.900000000000002,0.04096159699750846,26.200000000000003,0.043780671636119164,25.0,0.046555253638532766,23.400000000000002,0.04928850626401264,22.1,0.05227052182331861,20.5,0.05535802006174925,19.1,0.05845985659196009,18.2,0.061400515570749624,16.8,0.06449673832466744,15.299999999999999,0.06741071111681046,14.499999999999998
70%,0.04036650889230782,0.04342165942891234,48.1,0.043968302923817974,47.699999999999996,0.04549668165717787,46.400000000000006,0.04795324390613046,44.5,0.05101849804313805,42.1,0.05497528706440628,39.0,0.0594229370465528,36.3,0.06421524212425217,32.4,0.06914603159706975,29.099999999999998,0.07454427839104219,26.8,0.08001009056808521,23.200000000000003,0.08570882969525233,19.6,0.0915409887977213,17.8,0.09756222559521563,15.5,0.10373226165375127,12.7,0.10977712536873806,11.3,0.11608792674887486,9.6,0.12240011843529537,7.8,0.12884711345194733,6.4,0.13532406657611387,5.1,0.14167316900422547,4.3999999999999995
80%,0.06965951941575355,0.07131144556290106,49.2,0.07217234401027688,48.5,0.07476482162131691,46.7,0.07867311054863452,43.6,0.08400178033340118,40.8,0.09043726678952402,35.9,0.09772832591671769,31.0,0.10558833740420909,25.900000000000002,0.11404213691268396,21.7,0.12298609832544881,17.299999999999997,0.1323002107689632,13.8,0.14173197410625288,11.1,0.15137979285345815,7.9,0.16134129038193162,5.8999999999999995,0.1713438988154847,4.2,0.18143126095477505,3.0,0.19163335365566686,2.1999999999999997,0.2018952674650192,1.4000000000000001,0.21215323967076774,0.8999999999999999,0.22254744146858904,0.8,0.23301235658016564,0.6
90%,0.11435388442581083,0.11492839689323316,49.9,0.11613326236800828,49.1,0.12010354393564343,47.099999999999994,0.12682187276487575,42.199999999999996,0.13521182761729283,36.9,0.14563426771512292,31.5,0.15710642111275394,24.0,0.16959809430640183,18.3,0.18316060254673203,13.100000000000001,0.19710855682469627,8.9,0.21157442461507503,5.6000000000000005,0.22652503977058633,2.9000000000000004,0.2419871955120605,1.7999999999999998,0.2576706637388458,1.4000000000000001,0.2736167465390632,0.8,0.28961355725828664,0.4,0.3058128242823659,0.3,0.32225014039162364,0.0,0.338880003837083,0.0,0.3555856107045387,0.0,0.37224918144301283,0.0
10th Best,0.17787740227998264,0.1666244095645977,58.099999999999994,0.16839629233708606,56.8,0.1734724411333363,54.50000000000001,0.18226589143278069,49.5,0.1938659938260638,40.699999999999996,0.20795629817512207,33.2,0.22368495141135392,26.3,0.24111693850207264,18.4,0.26008039344739736,11.3,0.2798956638291795,6.7,0.3001962954760956,3.0,0.3209771907164346,2.0,0.3426314508690196,1.0,0.36452609844712436,0.5,0.3868959619397864,0.2,0.4097185763809312,0.1,0.4330750934458297,0.0,0.4564701906775638,0.0,0.4800718781758411,0.0,0.5035493636510935,0.0,0.5273145377526707,0.0
9th Best,0.17953744365158547,0.17475727674549416,54.1,0.1760507527266223,53.800000000000004,0.18132319229180102,51.0,0.19043322227465012,44.7,0.20243075946253214,36.8,0.21670591175356524,30.2,0.23311431143016537,22.2,0.25159255490977445,15.5,0.27104294990025707,9.0,0.29139459363617404,4.8,0.3127678393104642,2.7,0.3347162364817698,1.7000000000000002,0.3573029746860028,0.6,0.38018706992617374,0.2,0.4036213110206375,0.0,0.42749019082794726,0.0,0.4512557282989754,0.0,0.4754459127238821,0.0,0.4999050318345793,0.0,0.5243827089957099,0.0,0.5488534001815487,0.0
8th Best,0.18199498536905073,0.18316607629202816,50.0,0.18496475068705048,49.6,0.190324102967345,46.5,0.1993650173861326,41.0,0.21226674732109393,33.7,0.22736441368730487,26.8,0.24472005761989288,19.2,0.26313751731502794,13.4,0.2832991040449969,7.1,0.30452212931439626,3.9,0.3268779386731384,1.9,0.3499063847088601,1.0999999999999999,0.37319357376277584,0.4,0.39734480505449893,0.2,0.4219733468969595,0.0,0.4466195759809455,0.0,0.47161434469375474,0.0,0.49690434722959487,0.0,0.5219539376021871,0.0,0.5472003858778646,0.0,0.5726767218332323,0.0
7th Best,0.1856841154261488,0.19397522412909415,47.0,0.19605960778280063,45.9,0.20147945662264255,43.2,0.21090682683700637,37.5,0.22376585596924622,30.8,0.2396064591880878,23.599999999999998,0.2574195709747586,16.400000000000002,0.2777113054644282,11.1,0.2991051952644963,5.800000000000001,0.32104544488493053,2.6,0.34399617634249324,1.2,0.3679472666553664,1.0,0.39248368881802287,0.4,0.41765237095625857,0.1,0.4431380862910165,0.0,0.4690785584381587,0.0,0.4952389553977735,0.0,0.5214779895341226,0.0,0.5482084528413406,0.0,0.575155455276081,0.0,0.6020965898582867,0.0
6th Best,0.1869761208031976,0.20797490562890295,42.199999999999996,0.20904533619231155,40.699999999999996,0.21526759573924995,38.3,0.2250366057494003,32.800000000000004,0.23836029311760176,26.200000000000003,0.25415581527539954,20.0,0.27326879884235883,13.700000000000001,0.2939497255139087,8.5,0.3158708332521806,4.2,0.3395898268642202,2.1,0.3641738329181911,1.0999999999999999,0.3893171682425318,0.6,0.4155891028199777,0.3,0.4422489563958271,0.0,0.4689171130001696,0.0,0.49613908906198084,0.0,0.5238478815681656,0.0,0.5519470220350098,0.0,0.5801980775369063,0.0,0.6084498614014555,0.0,0.6368981170677402,0.0
5th Best,0.19403387471658232,0.2250583562651613,40.2,0.22549004977933626,38.800000000000004,0.23182163412709383,35.3,0.24216652256895163,29.7,0.2560498791965201,23.3,0.2734963049525906,17.4,0.2929408980919412,12.1,0.3149045191142427,7.6,0.33858310147699855,3.4000000000000004,0.36337218450175623,1.7999999999999998,0.3892929680187162,1.0,0.4160293933833211,0.7000000000000001,0.44337081347201296,0.2,0.47164248290907074,0.0,0.5006386360412431,0.0,0.5297180903789768,0.0,0.5587088877297003,0.0,0.5880011834901263,0.0,0.617642707319269,0.0,0.647792997772314,0.0,0.6783510704820581,0.0
4th Best,0.19797042598486567,0.2391670025207569,35.099999999999994,0.24225769331295136,34.0,0.24990588679697745,30.5,0.2621871705914954,24.6,0.278140943949371,18.7,0.2972767561794292,13.0,0.3190024233181185,9.3,0.34211852233027285,5.6000000000000005,0.36731509944972585,2.1,0.39444666720757143,0.8999999999999999,0.4228892557888412,0.6,0.45218677910054383,0.3,0.48159267557842556,0.1,0.5115529437625093,0.0,0.5421124271488217,0.0,0.5731870997859021,0.0,0.6048561054769663,0.0,0.6369042586077139,0.0,0.669511764344656,0.0,0.7024083971515299,0.0,0.7353531356582665,0.0
3rd Best,0.2006463861109834,0.25842387175011355,28.7,0.26333852890105514,27.700000000000003,0.27374693835572395,23.200000000000003,0.28816388123760034,18.4,0.3061795317421333,13.100000000000001,0.3277130972359592,8.799999999999999,0.3518843819604132,5.3,0.37832586053486034,3.2,0.4070578872315991,0.8999999999999999,0.43726526977109403,0.4,0.46847216577107065,0.2,0.501116399732629,0.1,0.5351779896238005,0.0,0.5693848976294881,0.0,0.6039696696109657,0.0,0.6390241046150147,0.0,0.6746743361330173,0.0,0.7105623022470713,0.0,0.746530542501154,0.0,0.7826805163585302,0.0,0.8191079296152729,0.0
2nd Best,0.20816343188937167,0.2942793406695907,22.2,0.3007032842542256,20.4,0.31289942184187663,15.7,0.3305943837772395,12.2,0.353429554308644,7.6,0.37988441359523223,5.1,0.4090028632449446,2.9000000000000004,0.44067668892448647,1.4000000000000001,0.47384323615082974,0.4,0.5087494484309106,0.3,0.5453215453810235,0.1,0.5827998497702827,0.0,0.620898961152629,0.0,0.6602035703815582,0.0,0.7003816960845713,0.0,0.741101762474245,0.0,0.7822596210948952,0.0,0.8238222699920356,0.0,0.8655578931925026,0.0,0.9076068448192217,0.0,0.9498780088126376,0.0
Best,0.9736255806252111,0.4052625898160044,98.1,0.41030747355438063,98.0,0.4242404165733681,97.7,0.4457931234049803,97.5,0.47287281279759724,97.5,0.5047300070899566,96.8,0.5410962676693919,95.8,0.5808796569126241,94.5,0.623592744012421,92.4,0.6686420019106335,89.3,0.7155279486168736,86.1,0.7639994159427864,81.8,0.813849954445041,77.2,0.8645966714607043,72.2,0.9162718930162707,65.4,0.9688184476877746,57.99999999999999,1.0219315050765414,50.6,1.075541940131664,44.0,1.12967843104563,37.4,1.1841681935792223,31.8,1.2390060739773303,26.5
