,Actual,Sim Avg (0.00),%<Act (0.00),Sim Avg (0.25),%<Act (0.25),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.75),%<Act (0.75),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.25),%<Act (1.25),Sim Avg (1.50),%<Act (1.50),Sim Avg (1.75),%<Act (1.75),Sim Avg (2.00),%<Act (2.00),Sim Avg (2.25),%<Act (2.25),Sim Avg (2.50),%<Act (2.50),Sim Avg (2.75),%<Act (2.75),Sim Avg (3.00),%<Act (3.00),Sim Avg (3.25),%<Act (3.25),Sim Avg (3.50),%<Act (3.50)
Worst,-3.7874950972417363,-2.711189682184276,6.7,-3.3943772637666627,27.200000000000003,-4.822660461033557,87.1,-6.49103347598423,100.0,-8.312801703455271,100.0,-10.163247079973269,100.0,-12.078503830721397,100.0,-13.921052496053916,100.0,-15.691332736188258,100.0,-17.633289579383863,100.0,-19.659505725976487,100.0,-21.870919930256125,100.0,-23.47989004312239,100.0,-25.335598229852657,100.0,-27.417849678714557,100.0
2nd,-3.70261522983497,-2.33534599260095,1.6,-2.883419284286903,9.2,-4.075458274473156,68.4,-5.5339086015409595,99.6,-7.08367733312493,100.0,-8.654017633995569,100.0,-10.238397943163557,100.0,-11.905144052202724,100.0,-13.46622486947213,100.0,-15.04126658672425,100.0,-16.770458067253827,100.0,-18.57391450052909,100.0,-20.001582732906396,100.0,-21.64583419753579,100.0,-23.351829391703586,100.0
3rd,-2.998788217551846,-2.1268210946670743,5.5,-2.6130414252325327,22.2,-3.6967447437551426,88.3,-5.031779905470094,100.0,-6.419759628657088,100.0,-7.817321747680816,100.0,-9.29706616857799,100.0,-10.802716950953043,100.0,-12.202909896975921,100.0,-13.64108575439674,100.0,-15.274767539173576,100.0,-16.753685584918188,100.0,-18.16409668946718,100.0,-19.650133080830525,100.0,-21.220651996825953,100.0
4th,-2.4327159228392072,-1.9812619555564561,15.6,-2.4292713383943596,45.6,-3.4289871745952376,96.7,-4.667111598816848,100.0,-5.9360491601479985,100.0,-7.259947105168954,100.0,-8.64099091309349,100.0,-9.989400095295291,100.0,-11.319464264629238,100.0,-12.667673637420776,100.0,-14.16883924410501,100.0,-15.532323921838026,100.0,-16.835906458028663,100.0,-18.178719404915107,100.0,-19.640090116530505,100.0
5th,-2.0705043046683156,-1.8647455966281532,30.3,-2.2807675061559514,66.2,-3.2307019679760876,98.9,-4.3817976136105115,100.0,-5.584068446762239,100.0,-6.834266265827045,100.0,-8.130681260028581,100.0,-9.370499950478042,100.0,-10.617797983714016,100.0,-11.880731152377194,100.0,-13.280614752979218,100.0,-14.62030225335871,100.0,-15.801338192173814,100.0,-17.07599241226269,100.0,-18.440101863323896,100.0
10%,-1.634097742024371,-1.3032963954389658,18.2,-1.5885391739750414,41.9,-2.2608013707324455,93.60000000000001,-3.0562951715175415,99.9,-3.8815118631760153,100.0,-4.745673190121066,100.0,-5.641158042050893,100.0,-6.486538210124453,100.0,-7.383925843736513,100.0,-8.27096226782678,100.0,-9.246790380608967,100.0,-10.076578056081818,100.0,-10.97450499776175,100.0,-11.945366799671806,100.0,-12.825597752486031,100.0
20%,-1.2274148622242542,-0.861290466197482,15.4,-1.0503719286880964,28.7,-1.4820260277306665,74.2,-1.9943297504781603,96.1,-2.555124331795576,99.9,-3.1290594909982574,100.0,-3.695386032423113,100.0,-4.26600499616273,100.0,-4.815438985100927,100.0,-5.4340447962629,100.0,-6.0925180265511845,100.0,-6.6153800893579495,100.0,-7.210307282833972,100.0,-7.864071678779717,100.0,-8.416601629885792,100.0
30%,-0.609360325075876,-0.5495812249146748,41.3,-0.6600804498508916,54.6,-0.9314178402540244,81.69999999999999,-1.2473648860309035,93.8,-1.5967775199203476,98.2,-1.952093941873028,100.0,-2.3125255834082012,100.0,-2.63114479991754,99.9,-3.0086273219123316,100.0,-3.3883351582321657,99.8,-3.8283142487074167,100.0,-4.12433028405175,100.0,-4.484329618250283,100.0,-4.880497986402189,100.0,-5.250697959718716,100.0
40%,-0.3004393166176774,-0.2760183142736563,46.0,-0.33199231260038636,53.300000000000004,-0.45854003389459974,67.4,-0.6147676385396343,78.5,-0.7809408406952167,85.39999999999999,-0.9605128507085213,90.9,-1.1228992918682656,92.10000000000001,-1.2619219071686854,93.30000000000001,-1.4555243940350304,94.5,-1.6187997847073108,95.19999999999999,-1.8827010574206944,96.1,-2.007768558432166,96.89999999999999,-2.193343729372705,96.8,-2.378152104767303,97.5,-2.521077399720997,97.3
50%,0.05343720373695998,-0.02171415172563632,58.5,-0.022049533633344227,59.699999999999996,-0.018713107461670733,56.8,-0.02206212043469636,58.4,-0.021328850241938976,56.2,-0.02260171643600233,55.300000000000004,-0.019603273562511982,52.7,-0.003349084509136736,53.6,-0.019044698485497016,53.2,0.03274057142022861,50.9,-0.05822206677259833,52.900000000000006,-0.046832524305326716,52.6,-0.036872300885303175,53.6,-0.022653819143791443,53.1,0.028938299213860375,51.0
60%,0.398654221628865,0.2307630336188176,70.89999999999999,0.2851448555999456,65.3,0.41573417629260184,49.1,0.5626144899038195,33.300000000000004,0.729494777802204,22.8,0.9115440839657181,15.299999999999999,1.075571257939576,11.899999999999999,1.2717316541592372,8.3,1.4177249476979132,7.9,1.6509233433442982,5.2,1.72759256285707,5.6000000000000005,1.9182112328817815,4.8,2.141187435763043,4.0,2.2704257493927495,4.3,2.5192310785650047,3.1
70%,0.7846081807024264,0.497567682587347,81.0,0.6188196192860088,70.1,0.884703345668888,39.4,1.2026867532168377,14.099999999999998,1.529070809564887,5.1,1.9080757393025656,1.5,2.260316458335243,0.3,2.6234785871997452,0.0,2.9725710428206567,0.1,3.373421758458859,0.1,3.675131103708225,0.0,4.041941176852038,0.0,4.421027378718854,0.1,4.793226445528828,0.0,5.23047990092788,0.0
80%,1.2616621125129615,0.8118013309765686,90.3,1.0036431996485509,77.5,1.4265697873229277,31.8,1.9572118819702946,5.2,2.469590683172889,0.8,3.06548172113088,0.0,3.656263713375916,0.0,4.226547146859824,0.0,4.774441470980694,0.0,5.401558862908998,0.0,5.962647870731757,0.0,6.543117274180177,0.0,7.122894687566646,0.0,7.730967161869159,0.0,8.3740092835021,0.0
90%,1.7549676611260763,1.2390186622750405,92.10000000000001,1.5301067767190917,72.89999999999999,2.1794386066495366,13.700000000000001,2.9792990671232857,0.6,3.804769137877271,0.0,4.69135012466182,0.0,5.58463875157429,0.0,6.443659808542681,0.0,7.322337007359833,0.0,8.250201072963884,0.0,9.140515005863174,0.0,10.026822278877116,0.0,10.933035812824432,0.0,11.81153127794433,0.0,12.770196817204116,0.0
5th,2.417043185454113,1.7595072998504748,93.8,2.1985128723326195,70.5,3.136750181495907,6.800000000000001,4.281878091349202,0.1,5.476937055994979,0.0,6.730949604288278,0.0,8.040972227623831,0.0,9.233523336804799,0.0,10.560255378118516,0.0,11.904238232013562,0.0,13.143567514572467,0.0,14.486844120159661,0.0,15.690939834139739,0.0,16.993746071618915,0.0,18.34882465982879,0.0
4th,2.5969548383244,1.8753035669782872,93.89999999999999,2.343242235985861,72.39999999999999,3.3498274901955636,7.6,4.561178851022411,0.1,5.8350956224486,0.0,7.17017464507009,0.0,8.531901440760139,0.0,9.834747140273354,0.0,11.21861583622358,0.0,12.660038353882985,0.0,13.952276293868424,0.0,15.442465730830673,0.0,16.683206852905283,0.0,18.12557058053025,0.0,19.52379583634799,0.0
3rd,2.634868992377763,2.0185499049118376,90.3,2.527637502296674,60.199999999999996,3.6021414566847483,4.0,4.910418662311699,0.0,6.302833793572097,0.0,7.6907501662437845,0.0,9.207444765716234,0.0,10.615538948615947,0.0,12.079778572932442,0.0,13.670239358671115,0.0,15.036022024071823,0.0,16.663507809502775,0.0,17.934979494875552,0.0,19.577081185281873,0.0,21.067360219233247,0.0
2nd,3.149316540522146,2.2155417974043194,96.3,2.782639566065556,76.2,3.97862582333023,8.6,5.412624928852778,0.1,6.934694706872978,0.0,8.461474057542482,0.0,10.128351463028833,0.0,11.659137908209408,0.0,13.231762009166388,0.0,15.088862594064413,0.0,16.64518102626477,0.0,18.27785552016991,0.0,19.840903422607063,0.0,21.576133718329725,0.0,23.313205537138412,0.0
Best,3.4079982838725478,2.5763764380161174,91.60000000000001,3.251999774241024,63.800000000000004,4.641172774340217,5.800000000000001,6.312407874403476,0.0,8.14131619376827,0.0,9.89412274836417,0.0,11.800582710316164,0.0,13.664023064179885,0.0,15.468116439273873,0.0,17.602691976153647,0.0,19.360866027366747,0.0,21.331338758631517,0.0,23.096898449003543,0.0,25.302786442052813,0.0,27.375753162137595,0.0
