,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (LGPSX),-8.241397737418078,-3.850763746917845,0.2,-8.241397737418078,-4.266434590298252,0.2,-8.241397737418078,-4.947843107090275,0.8,-8.241397737418078,-5.8257825273381405,2.5,-8.241397737418078,-6.822963657950528,12.0,-8.241397737418078,-7.903368107439521,37.6,-8.241397737418078,-9.040248798256657,69.89999999999999,-8.241397737418078,-10.219597490623219,91.4,-8.241397737418078,-11.42446052413782,98.7,-8.241397737418078,-12.648516458577415,99.9,-8.241397737418078,-13.887433759963718,100.0,-8.241397737418078,-15.136495186537756,100.0,-8.241397737418078,-16.394770185196162,100.0,-8.241397737418078,-17.659398297683758,100.0,-8.241397737418078,-18.930520149505792,100.0,-8.241397737418078,-20.206284348629467,100.0
2nd Worst (TLGCX),-6.284658170295695,-3.6847950235017635,1.2,-6.284658170295695,-3.9726324208818857,1.3,-6.284658170295695,-4.525856029322168,3.4000000000000004,-6.284658170295695,-5.271584899726518,14.099999999999998,-6.284658170295695,-6.165819103328544,42.6,-6.284658170295695,-7.137266820908907,78.3,-6.284658170295695,-8.165388727639408,95.8,-6.284658170295695,-9.225588220143155,99.6,-6.284658170295695,-10.314354197720379,100.0,-6.284658170295695,-11.42419703840119,100.0,-6.284658170295695,-12.550367159917277,100.0,-6.284658170295695,-13.688183324095222,100.0,-6.284658170295695,-14.830186752459312,100.0,-6.284658170295695,-15.978556508724294,100.0,-6.284658170295695,-17.13024235997883,100.0,-6.284658170295695,-18.285223345605097,100.0
3rd Worst (EZTGX),-5.5795022403421894,-3.5896127515737977,1.9,-5.5795022403421894,-3.8032899255327455,2.9000000000000004,-5.5795022403421894,-4.297486100517478,7.199999999999999,-5.5795022403421894,-4.988722797107354,23.7,-5.5795022403421894,-5.80810783938007,58.9,-5.5795022403421894,-6.715052806684574,87.6,-5.5795022403421894,-7.677607086850232,98.4,-5.5795022403421894,-8.68364596350203,100.0,-5.5795022403421894,-9.720177183174464,100.0,-5.5795022403421894,-10.771295017424954,100.0,-5.5795022403421894,-11.82853553366952,100.0,-5.5795022403421894,-12.892373448799425,100.0,-5.5795022403421894,-13.967741097547423,100.0,-5.5795022403421894,-15.04868829178502,100.0,-5.5795022403421894,-16.13506289040708,100.0,-5.5795022403421894,-17.224755570142694,100.0
4th Worst (SITLX),-5.568109536017122,-3.4994554929064496,1.6,-5.568109536017122,-3.6666800923372906,2.1,-5.568109536017122,-4.135450729965761,5.6000000000000005,-5.568109536017122,-4.787377880259782,18.0,-5.568109536017122,-5.568138977302886,47.9,-5.568109536017122,-6.439727596012069,81.8,-5.568109536017122,-7.372609126310608,96.8,-5.568109536017122,-8.341139116884639,99.9,-5.568109536017122,-9.32501794868059,100.0,-5.568109536017122,-10.32627828238986,100.0,-5.568109536017122,-11.338909029894428,100.0,-5.568109536017122,-12.36251545381144,100.0,-5.568109536017122,-13.394648775325074,100.0,-5.568109536017122,-14.433800563914332,100.0,-5.568109536017122,-15.478769868511307,100.0,-5.568109536017122,-16.52762930947296,100.0
5th Worst (AMRCX),-5.535127046363194,-3.409064792058024,1.6,-5.535127046363194,-3.558365447194173,1.7000000000000002,-5.535127046363194,-4.006208400769129,4.0,-5.535127046363194,-4.631424379988442,14.000000000000002,-5.535127046363194,-5.391545183177063,41.199999999999996,-5.535127046363194,-6.2302763366194105,77.10000000000001,-5.535127046363194,-7.126088953115224,95.5,-5.535127046363194,-8.0556085316476,99.9,-5.535127046363194,-9.008179652356892,100.0,-5.535127046363194,-9.976739141001831,100.0,-5.535127046363194,-10.96144594745361,100.0,-5.535127046363194,-11.95425526783598,100.0,-5.535127046363194,-12.949972959915682,100.0,-5.535127046363194,-13.950085708332347,100.0,-5.535127046363194,-14.952825886557047,100.0,-5.535127046363194,-15.96190278920874,100.0
10%,-1.973013646102963,-1.652287491715204,31.5,-1.973013646102963,-1.7238885443593837,35.699999999999996,-1.973013646102963,-1.9295171038569219,46.2,-1.973013646102963,-2.230818855309214,62.1,-1.973013646102963,-2.591499831357227,79.4,-1.973013646102963,-2.9912928040496536,91.5,-1.973013646102963,-3.4179333293994607,97.89999999999999,-1.973013646102963,-3.861416721912493,99.2,-1.973013646102963,-4.31638394106805,99.9,-1.973013646102963,-4.7764929387589365,100.0,-1.973013646102963,-5.2451262115475465,100.0,-1.973013646102963,-5.719791433992781,100.0,-1.973013646102963,-6.195028154225902,100.0,-1.973013646102963,-6.674620505764899,100.0,-1.973013646102963,-7.156158138836631,100.0,-1.973013646102963,-7.6380869453876805,100.0
20%,-1.4220743105795408,-1.0874981280759621,31.8,-1.4220743105795408,-1.1394102619712372,34.2,-1.4220743105795408,-1.2751249016882837,43.0,-1.4220743105795408,-1.470222374207291,51.800000000000004,-1.4220743105795408,-1.706222559179206,64.7,-1.4220743105795408,-1.9688290577237644,76.8,-1.4220743105795408,-2.244073678415212,86.3,-1.4220743105795408,-2.5329896469674282,93.0,-1.4220743105795408,-2.8281511251548164,97.89999999999999,-1.4220743105795408,-3.129668944607562,99.0,-1.4220743105795408,-3.4376015459420217,99.3,-1.4220743105795408,-3.747839865228998,99.8,-1.4220743105795408,-4.060422105816486,100.0,-1.4220743105795408,-4.373494563116371,100.0,-1.4220743105795408,-4.6880402289574805,100.0,-1.4220743105795408,-5.006020277291036,100.0
30%,-0.8736480792072325,-0.6878672731048134,39.2,-0.8736480792072325,-0.7178791772806374,42.1,-0.8736480792072325,-0.8023923501243139,45.9,-0.8736480792072325,-0.9234377301385457,51.300000000000004,-0.8736480792072325,-1.070159905280624,60.699999999999996,-0.8736480792072325,-1.2316853817060056,68.4,-0.8736480792072325,-1.404689144338589,76.6,-0.8736480792072325,-1.585010168431104,83.1,-0.8736480792072325,-1.769490851938022,88.9,-0.8736480792072325,-1.9569682503463997,92.7,-0.8736480792072325,-2.1477536159889286,95.1,-0.8736480792072325,-2.337750845042612,97.5,-0.8736480792072325,-2.530610177796464,98.6,-0.8736480792072325,-2.726273099492003,99.1,-0.8736480792072325,-2.921733399516416,99.4,-0.8736480792072325,-3.1186273386365593,99.8
40%,-0.49103322307910957,-0.3419703131268118,42.1,-0.49103322307910957,-0.357386100140859,42.8,-0.49103322307910957,-0.39786620275824364,45.1,-0.49103322307910957,-0.457182142125174,47.4,-0.49103322307910957,-0.5277540496585081,51.4,-0.49103322307910957,-0.6064767955600853,55.7,-0.49103322307910957,-0.6875179826545196,61.4,-0.49103322307910957,-0.7760491675644237,65.4,-0.49103322307910957,-0.8665109326666909,69.8,-0.49103322307910957,-0.9581305122603551,74.1,-0.49103322307910957,-1.048896212977406,78.7,-0.49103322307910957,-1.1411862530470978,81.8,-0.49103322307910957,-1.2363032010859794,85.0,-0.49103322307910957,-1.3307960176083975,87.0,-0.49103322307910957,-1.425567194246954,89.5,-0.49103322307910957,-1.5206019819322913,91.7
50%,-0.12490309117562944,-0.019626704758869105,44.3,-0.12490309117562944,-0.020154755706035418,44.2,-0.12490309117562944,-0.022071455883824094,44.1,-0.12490309117562944,-0.022967380328696732,44.1,-0.12490309117562944,-0.023097977890831595,44.2,-0.12490309117562944,-0.02421989810942401,44.6,-0.12490309117562944,-0.024196967651472057,43.8,-0.12490309117562944,-0.024384931100526124,44.2,-0.12490309117562944,-0.023709653420633005,44.0,-0.12490309117562944,-0.024053367106094257,43.5,-0.12490309117562944,-0.024674642769750257,44.2,-0.12490309117562944,-0.025460987020857598,43.1,-0.12490309117562944,-0.02610104408771188,43.5,-0.12490309117562944,-0.027832129793645136,43.6,-0.12490309117562944,-0.028471787973631025,43.9,-0.12490309117562944,-0.027737753717121623,44.7
60%,0.17809325777701634,0.30142099553159596,44.0,0.17809325777701634,0.313826051980583,43.4,0.17809325777701634,0.3526610813993401,41.0,0.17809325777701634,0.40945844825163497,37.4,0.17809325777701634,0.47864289622913053,33.300000000000004,0.17809325777701634,0.5565229557147575,29.9,0.17809325777701634,0.6378720233794292,25.7,0.17809325777701634,0.7241689858969226,23.200000000000003,0.17809325777701634,0.8122022310913879,18.7,0.17809325777701634,0.8991273375061066,16.5,0.17809325777701634,0.9911479569068882,14.000000000000002,0.17809325777701634,1.083578418438667,11.200000000000001,0.17809325777701634,1.1749499080195256,8.3,0.17809325777701634,1.268710683740158,6.4,0.17809325777701634,1.3610871329243113,5.2,0.17809325777701634,1.4537783955114791,4.2
70%,0.5376599651473113,0.6366321247760588,45.6,0.5376599651473113,0.6693369353958963,43.1,0.5376599651473113,0.7519889783199275,38.800000000000004,0.5376599651473113,0.8725688570021354,32.9,0.5376599651473113,1.0183673076718198,24.9,0.5376599651473113,1.179197809264746,18.2,0.5376599651473113,1.3509950975329006,13.600000000000001,0.5376599651473113,1.5288399834507231,9.1,0.5376599651473113,1.7115676869614198,5.4,0.5376599651473113,1.8970556487294141,3.2,0.5376599651473113,2.0864141636426883,1.5,0.5376599651473113,2.2780481098345873,0.8,0.5376599651473113,2.469884804409921,0.2,0.5376599651473113,2.6634182347230446,0.2,0.5376599651473113,2.859011548128953,0.1,0.5376599651473113,3.053360684981162,0.1
80%,1.1238777606637145,1.036711540076703,55.900000000000006,1.1238777606637145,1.0838896592342422,53.6,1.1238777606637145,1.2199337897260147,45.5,1.1238777606637145,1.4158128177035305,34.8,1.1238777606637145,1.6508277081564693,23.599999999999998,1.1238777606637145,1.9103139506614752,14.399999999999999,1.1238777606637145,2.188220959425078,7.8,1.1238777606637145,2.4764605213152993,2.7,1.1238777606637145,2.7732234192551033,0.7000000000000001,1.1238777606637145,3.0758633683861634,0.3,1.1238777606637145,3.3827031400142746,0.1,1.1238777606637145,3.690365553508213,0.1,1.1238777606637145,4.001420758597449,0.0,1.1238777606637145,4.313351145014468,0.0,1.1238777606637145,4.6292037891615445,0.0,1.1238777606637145,4.945408220756558,0.0
90%,1.7944450330393056,1.5862004669243777,63.7,1.7944450330393056,1.6599462505005385,59.199999999999996,1.7944450330393056,1.8669445909922693,47.599999999999994,1.7944450330393056,2.167513284667738,31.5,1.7944450330393056,2.5285048446774683,15.7,1.7944450330393056,2.927197821316104,5.8999999999999995,1.7944450330393056,3.3520228463884103,1.3,1.7944450330393056,3.79467099834417,0.4,1.7944450330393056,4.251119526310094,0.0,1.7944450330393056,4.712346546449437,0.0,1.7944450330393056,5.182445166171985,0.0,1.7944450330393056,5.6547124336410235,0.0,1.7944450330393056,6.129224632635957,0.0,1.7944450330393056,6.609006570345049,0.0,1.7944450330393056,7.089050623393438,0.0,1.7944450330393056,7.573602722570666,0.0
5th Best (CEYIX),3.2975537518345384,3.2355132209264643,57.3,3.2975537518345384,3.398314848365445,48.3,3.2975537518345384,3.8502929775352914,26.6,3.2975537518345384,4.500325565579162,5.8999999999999995,3.2975537518345384,5.259409038000469,0.8999999999999999,3.2975537518345384,6.09819691304327,0.0,3.2975537518345384,6.999157177382072,0.0,3.2975537518345384,7.930263926730251,0.0,3.2975537518345384,8.88690330466479,0.0,3.2975537518345384,9.85870700867277,0.0,3.2975537518345384,10.839496944430609,0.0,3.2975537518345384,11.832703138244659,0.0,3.2975537518345384,12.829698416301902,0.0,3.2975537518345384,13.83059439395194,0.0,3.2975537518345384,14.838070139916574,0.0,3.2975537518345384,15.851771551473124,0.0
4th Best (VPMCX),3.7584348316922314,3.3212727349909796,72.89999999999999,3.7584348316922314,3.510768599658905,65.10000000000001,3.7584348316922314,3.981553601019564,42.199999999999996,3.7584348316922314,4.650032333578037,14.399999999999999,3.7584348316922314,5.435494102485154,2.1999999999999997,3.7584348316922314,6.310868177619997,0.2,3.7584348316922314,7.235747305244551,0.0,3.7584348316922314,8.196967801211864,0.0,3.7584348316922314,9.184507576927356,0.0,3.7584348316922314,10.188700531310511,0.0,3.7584348316922314,11.202843001797323,0.0,3.7584348316922314,12.227220036441942,0.0,3.7584348316922314,13.26026808147223,0.0,3.7584348316922314,14.300681155624195,0.0,3.7584348316922314,15.346640502183677,0.0,3.7584348316922314,16.392944291257976,0.0
3rd Best (VHCOX),3.830658067155682,3.412479281398297,72.0,3.830658067155682,3.6387484243150947,62.4,3.830658067155682,4.14280280643702,38.4,3.830658067155682,4.852026997823421,11.1,3.830658067155682,5.686197140879244,1.6,3.830658067155682,6.599793949082781,0.2,3.830658067155682,7.5611600687205645,0.0,3.830658067155682,8.561647282108247,0.0,3.830658067155682,9.5911549810164,0.0,3.830658067155682,10.638058842101021,0.0,3.830658067155682,11.699402510942216,0.0,3.830658067155682,12.771817769257956,0.0,3.830658067155682,13.85074687905885,0.0,3.830658067155682,14.934472283616829,0.0,3.830658067155682,16.022225597583585,0.0,3.830658067155682,17.115215233008094,0.0
2nd Best (VPMAX),3.8810003761953635,3.514433940894887,69.69999999999999,3.8810003761953635,3.803503770715364,57.599999999999994,3.8810003761953635,4.376280027536536,29.599999999999998,3.8810003761953635,5.135638227914796,8.4,3.8810003761953635,6.030114462327972,0.8,3.8810003761953635,6.996876491148493,0.2,3.8810003761953635,8.025149339307267,0.0,3.8810003761953635,9.088411128441903,0.0,3.8810003761953635,10.173097659898671,0.0,3.8810003761953635,11.282009033974784,0.0,3.8810003761953635,12.408568774958193,0.0,3.8810003761953635,13.541866452228351,0.0,3.8810003761953635,14.684393939751965,0.0,3.8810003761953635,15.83428892794114,0.0,3.8810003761953635,16.988066586892227,0.0,3.8810003761953635,18.14513191017706,0.0
Best (VHCAX),3.886018144758506,3.635025952217269,65.2,3.886018144758506,4.071270559308494,44.7,3.886018144758506,4.779851735308375,17.9,3.886018144758506,5.663030726140033,2.5,3.886018144758506,6.666882937456352,0.4,3.886018144758506,7.753139351592283,0.0,3.886018144758506,8.89102062854193,0.0,3.886018144758506,10.06865977990228,0.0,3.886018144758506,11.278292779072506,0.0,3.886018144758506,12.50612332667393,0.0,3.886018144758506,13.748690997368344,0.0,3.886018144758506,15.00433241693549,0.0,3.886018144758506,16.267822332744196,0.0,3.886018144758506,17.539021813730844,0.0,3.886018144758506,18.8164741364895,0.0,3.886018144758506,20.0991034409707,0.0
