,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00)
Worst (RYSYX),-10.742609922998977,-4.429419900003416,0.0,-10.742609922998977,-5.024743935077458,0.0,-10.742609922998977,-6.038949941358162,0.0,-10.742609922998977,-7.275491475491721,0.0,-10.742609922998977,-8.663566757731083,5.0,-10.742609922998977,-10.157163990455079,28.799999999999997,-10.742609922998977,-11.714899587012958,73.6,-10.742609922998977,-13.299089413515896,97.6,-10.742609922998977,-14.911036224878607,100.0,-10.742609922998977,-16.547831759093956,100.0,-10.742609922998977,-18.204617450147985,100.0
2nd Worst (LVPSX),-10.30785913629006,-4.2732875573508915,0.0,-10.30785913629006,-4.701325119359427,0.0,-10.30785913629006,-5.542323172294856,0.0,-10.30785913629006,-6.646570811015754,0.0,-10.30785913629006,-7.927932046499853,1.0,-10.30785913629006,-9.294413845508233,16.2,-10.30785913629006,-10.702444903099389,59.4,-10.30785913629006,-12.166164405947017,97.0,-10.30785913629006,-13.669144650360606,100.0,-10.30785913629006,-15.183977290148539,100.0,-10.30785913629006,-16.710090245125997,100.0
3rd Worst (PLICX),-9.659795501924174,-4.185205540027419,0.0,-9.659795501924174,-4.521759223207756,0.0,-9.659795501924174,-5.303663763443965,0.0,-9.659795501924174,-6.362319283542467,0.0,-9.659795501924174,-7.561552468212305,0.8,-9.659795501924174,-8.858682824434847,20.4,-9.659795501924174,-10.21512443979173,69.39999999999999,-9.659795501924174,-11.600083320251525,98.2,-9.659795501924174,-13.010043110666857,100.0,-9.659795501924174,-14.44795337425097,100.0,-9.659795501924174,-15.894327841630734,100.0
4th Worst (Unnamed: 707),-9.410910348677808,-4.088204062576927,0.0,-9.410910348677808,-4.390272678189119,0.0,-9.410910348677808,-5.134935013889524,0.0,-9.410910348677808,-6.152420486810078,0.0,-9.410910348677808,-7.3019980643460585,0.8,-9.410910348677808,-8.541922237290105,15.0,-9.410910348677808,-9.856326612243956,66.8,-9.410910348677808,-11.205896532618684,98.6,-9.410910348677808,-12.567264595883746,100.0,-9.410910348677808,-13.950415890010385,100.0,-9.410910348677808,-15.346818982010785,100.0
5th Worst (LGPSX),-8.241397737418074,-4.0176850830509006,0.0,-8.241397737418074,-4.283507052570698,0.0,-8.241397737418074,-5.0069883661574766,0.0,-8.241397737418074,-5.987198752205614,0.4,-8.241397737418074,-7.097260523827412,7.8,-8.241397737418074,-8.307282509665441,49.2,-8.241397737418074,-9.576790132007726,96.6,-8.241397737418074,-10.887499364492802,100.0,-8.241397737418074,-12.223741847340781,100.0,-8.241397737418074,-13.567278479390021,100.0,-8.241397737418074,-14.932104937831243,100.0
10%,-2.6754906554470255,-1.8126447708378033,6.6000000000000005,-2.6754906554470255,-1.9100892964886977,8.6,-2.6754906554470255,-2.1727632280716036,18.6,-2.6754906554470255,-2.5557446941138378,37.8,-2.6754906554470255,-3.010063622882173,74.4,-2.6754906554470255,-3.507741244987541,95.0,-2.6754906554470255,-4.0323346888282865,100.0,-2.6754906554470255,-4.573344607984789,100.0,-2.6754906554470255,-5.126706212064228,100.0,-2.6754906554470255,-5.689788012870769,100.0,-2.6754906554470255,-6.257805394091394,100.0
20%,-1.727533794456377,-1.204666439123254,16.0,-1.727533794456377,-1.2638286217845935,18.2,-1.727533794456377,-1.435529190112119,27.6,-1.727533794456377,-1.6839858020954661,44.2,-1.727533794456377,-1.9767103813987879,69.39999999999999,-1.727533794456377,-2.2992818389285947,87.4,-1.727533794456377,-2.642855369147113,96.2,-1.727533794456377,-2.9969157693130266,99.0,-1.727533794456377,-3.3586445079573943,100.0,-1.727533794456377,-3.724116061830303,100.0,-1.727533794456377,-4.094378472705217,100.0
30%,-1.062769953514044,-0.75912790674202,28.199999999999996,-1.062769953514044,-0.7970055466474618,29.799999999999997,-1.062769953514044,-0.9027308869933771,36.6,-1.062769953514044,-1.0546987726867691,47.8,-1.062769953514044,-1.2390953825761486,65.4,-1.062769953514044,-1.4393649497186582,76.4,-1.062769953514044,-1.6518767614403578,88.6,-1.062769953514044,-1.8713749002896702,94.6,-1.062769953514044,-2.0965689785305166,97.8,-1.062769953514044,-2.326954319325225,99.4,-1.062769953514044,-2.5581762336119227,100.0
40%,-0.5058538859012458,-0.37548032364079653,39.6,-0.5058538859012458,-0.39639768606838705,41.199999999999996,-0.5058538859012458,-0.447063502909299,44.4,-0.5058538859012458,-0.5210009099629213,50.4,-0.5058538859012458,-0.6086543018153981,60.4,-0.5058538859012458,-0.7051347281242528,68.0,-0.5058538859012458,-0.8093273984195141,74.6,-0.5058538859012458,-0.915229125420431,80.4,-0.5058538859012458,-1.0244585220755806,86.2,-0.5058538859012458,-1.1349905707043815,90.4,-0.5058538859012458,-1.2470482946076096,93.0
50%,-0.06746045054499009,-0.022159483402221958,47.0,-0.06746045054499009,-0.0210230835257877,46.800000000000004,-0.06746045054499009,-0.020145089322964327,47.0,-0.06746045054499009,-0.020615594640379944,47.4,-0.06746045054499009,-0.02205274287032628,47.4,-0.06746045054499009,-0.022496580735567644,47.199999999999996,-0.06746045054499009,-0.02306179564967357,46.2,-0.06746045054499009,-0.021984221804607428,46.2,-0.06746045054499009,-0.021337018173751013,45.6,-0.06746045054499009,-0.023390144551375912,46.2,-0.06746045054499009,-0.02358127454127694,47.199999999999996
60%,0.37890773397445876,0.33446858692330483,55.60000000000001,0.37890773397445876,0.35338120487612024,55.00000000000001,0.37890773397445876,0.4025589691972864,49.2,0.37890773397445876,0.47751534809369417,42.4,0.37890773397445876,0.5671451419874945,33.0,0.37890773397445876,0.6639775957213787,28.199999999999996,0.37890773397445876,0.7653478620683685,21.4,0.37890773397445876,0.8718317528866426,15.0,0.37890773397445876,0.9791220434353546,8.200000000000001,0.37890773397445876,1.0885175640589382,4.6,0.37890773397445876,1.1985210733571647,2.1999999999999997
70%,0.8897842585216242,0.71229136840946,67.2,0.8897842585216242,0.7514885658937733,63.800000000000004,0.8897842585216242,0.8570485641502751,56.00000000000001,0.8897842585216242,1.0113214916398676,41.8,0.8897842585216242,1.194213333087334,26.6,0.8897842585216242,1.3967936398401353,15.2,0.8897842585216242,1.6094693072541264,3.2,0.8897842585216242,1.8293093548775332,1.2,0.8897842585216242,2.0540946617521247,0.4,0.8897842585216242,2.2841102796196835,0.0,0.8897842585216242,2.514864795564779,0.0
80%,1.4374790411732183,1.1513028290351226,73.6,1.4374790411732183,1.2138637713475842,69.6,1.4374790411732183,1.3875816525196487,58.599999999999994,1.4374790411732183,1.6377747908429958,36.4,1.4374790411732183,1.9314211404246275,14.799999999999999,1.4374790411732183,2.2575731109622574,1.4000000000000001,1.4374790411732183,2.6017954291155214,0.4,1.4374790411732183,2.9598463446591334,0.0,1.4374790411732183,3.3249360115064532,0.0,1.4374790411732183,3.6973379621312015,0.0,1.4374790411732183,4.070307231147916,0.0
90%,2.1456094491528357,1.7450063114137933,78.2,2.1456094491528357,1.847765912512165,73.4,2.1456094491528357,2.1201912848517206,56.8,2.1456094491528357,2.505367016414267,23.0,2.1456094491528357,2.9628811329710643,1.4000000000000001,2.1456094491528357,3.4636572082998853,0.0,2.1456094491528357,3.988623460094255,0.0,2.1456094491528357,4.532765543505024,0.0,2.1456094491528357,5.087343532480791,0.0,2.1456094491528357,5.653060030886673,0.0,2.1456094491528357,6.2237403430018015,0.0
5th Best (PRBLX),4.887104937293593,4.002018219715493,87.2,4.887104937293593,4.257380060311039,82.19999999999999,4.887104937293593,4.936586569874886,51.2,4.887104937293593,5.887709397128841,4.2,4.887104937293593,6.998901276348125,0.0,4.887104937293593,8.207457618680731,0.0,4.887104937293593,9.459627704931803,0.0,4.887104937293593,10.749408395586066,0.0,4.887104937293593,12.067180378944746,0.0,4.887104937293593,13.412796921711967,0.0,4.887104937293593,14.768808525917425,0.0
4th Best (ACIIX),4.905981355471845,4.0889625921772605,85.0,4.905981355471845,4.370868879236552,79.60000000000001,4.905981355471845,5.075933210108511,43.6,4.905981355471845,6.047263624331625,3.0,4.905981355471845,7.190812811754088,0.0,4.905981355471845,8.43146550860642,0.0,4.905981355471845,9.733374280173056,0.0,4.905981355471845,11.069248997736809,0.0,4.905981355471845,12.426507846558907,0.0,4.905981355471845,13.807443232703474,0.0,4.905981355471845,15.211822907328294,0.0
3rd Best (PRILX),5.0733586969910744,4.192678467257565,86.4,5.0733586969910744,4.510203462133406,79.4,5.0733586969910744,5.253673669124848,46.400000000000006,5.0733586969910744,6.265508094721226,2.8000000000000003,5.0733586969910744,7.449134424052887,0.0,5.0733586969910744,8.727672708379991,0.0,5.0733586969910744,10.080026676412153,0.0,5.0733586969910744,11.466547792730077,0.0,5.0733586969910744,12.882477834984126,0.0,5.0733586969910744,14.310123130378052,0.0,5.0733586969910744,15.75107417320971,0.0
2nd Best (FMIHX),5.234425595994085,4.278037496993604,88.6,5.234425595994085,4.684740170379053,77.60000000000001,5.234425595994085,5.487038524072479,41.6,5.234425595994085,6.55406148409216,2.0,5.234425595994085,7.797132970473384,0.0,5.234425595994085,9.1394367479716,0.0,5.234425595994085,10.551069827990991,0.0,5.234425595994085,12.01740662646876,0.0,5.234425595994085,13.511561183278234,0.0,5.234425595994085,15.028811675313847,0.0,5.234425595994085,16.560747226495014,0.0
Best (FMIQX),5.265473538355779,4.37952427902724,86.6,5.265473538355779,4.985666805761332,66.8,5.265473538355779,5.928813507764864,24.6,5.265473538355779,7.107132176842198,0.4,5.265473538355779,8.44571349527072,0.0,5.265473538355779,9.912282050531983,0.0,5.265473538355779,11.466974404603231,0.0,5.265473538355779,13.076299832096167,0.0,5.265473538355779,14.727706771223307,0.0,5.265473538355779,16.402544545782316,0.0,5.265473538355779,18.093189707300198,0.0
